Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"TJ,
Please put on my calendar for every Tues., thanks.  Also, please notify my 
team that we will have a meeting with the marketing group every Mon at...",TRADER'S ROUNDTABLE MEETING,a Trader's Roundtable meeting will be held every Tuesday at 4:00pm in EB3321. a Trader's Round,TRADER'S ROUNDTABLE MEETING
"Let O'Neal know if you will be in or out so that we can get some fillers.
PL


 -----Original Message-----
From: 	Winfree, O'Neal D.  
Sent:	Friday, J...",Phil Let me know if this is ok,you will visit 406 Starleaf Go thru the gate and take a left on River Birch drive Starleaf will be the 3,Phil Let me know if this is ok
"We are in the process of preparing applications for position limit exemptio=
ns=20
for ENA=01,s NYMEX energy commodities futures trading.  These appli...",Enron North America Corp. NYMEX Hedge Exemption Applications,"applications for position limit exemptio= ns=20 for ENA=01,s NYMEX energy commodities futures trading.",NYMEX energy commodities futures trading
"Below is the Enron 2002 holiday schedule.  Remember, Enron's offices will be closed in observance of Martin Luther King Day this coming Monday, Januar...",2002 Holiday Schedule,"remember, Enron's offices will be closed in observance of Martin Luther King Day this coming Monday, January 21. enjoy the long",New Year's Day
"Join Enron Federal Credit Union and The Foundation for Financial Literacy, 
for our 3rd in a series of 5 Financial Wellness Workshops:

      Protecti...",Financial Wellness Workshop - #3 Insurance,Enron Federal Credit Union and The Foundation for Financial Literacy will host our 3rd in a series of 5 Financial Wellness Workshops.,Enron Federal Credit Union and The Foundation for Financial Literacy
"i have no parking.  let's meet at your place.  kim and i can carpool and take 
the ""legal"" spot.  what's the address?



	Jacqueline Kelly <JKelly@Fai...",FW: MPAR Team Assignment Change,"kim and i can carpool and take the ""legal"" spot. kim and i can carpool and take the ""legal""",MPAR Team Assignment Change
"Kevin
I just got the attached e-mail returned with your new address. Let me know if this one makes it thru
Fred
Confidential
Kevin
I know you are quit...",Confidential Contact data and RFI,"the client will be looking long 10 year, with maybe a series of 2 and 5 year deals. should be putting out around 500 to 700",Fred Confidential
Market Data has recently made changes to the Reuters Kobra permissioning database.  If you no longer have access to information that you previously ut...,Reuters Kobra Changes,market data has recently made changes to the Reuters Kobra permissioning database. if you no longer have access to information that you previously used on,Market Data has recently made changes to the Reuters Kobra permissioning database
"Attention Enpower Users,

We are currently experiencing server connectivity issues with Deal Blotter's 
blotter server when using your local version o...",Local Enpower Deal Blotter Issue,Enpower users are currently experiencing server connectivity issues with Deal Blotter's blotter server when using your local version of Enpower.,Enpower Users
"Confirming the open requistions for your group.    If your records indicate 
otherwise, please let me know. 

Lisa Csikos  104355,104001
Rita Wynne  1...",Confirming Requisitions,"if your records indicate otherwise, please let me know. the posting dates have been updated to reflect a current posting date.",Open requistions for your group
"John, completely agree with your view - David, I would have the matrix, with 
all of the ENA statistics and names, ready for distribution on Friday to...",Status of Completed Performance Reviews,I would have the matrix ready for distribution on Friday to key managers to try and illicit a response from the low participation folks. I hope the data,Status of Completed Performance Reviews
"meeitng file
----- Forwarded by Steven J Kean/NA/Enron on 02/13/2001 02:47 PM -----

	Jana Mills@ECT
	02/13/2001 10:41 AM
		 
		 To: William S Bradfor...",Conf Call with CalPERS,"ENE and CalPERS are 50/50 partners in JEDI II. the commitment period was set to expire on December 31, 2000 ",Conf Call with CalPERS FROM SHIRLEY HUDLER
We are probably more interested in people who have more experience in the Western U.S.  Preferably direct producer relationships and Rocky Mountain Ut...,The Austin Group Energy - Christian Schutz,we don't do any trading in the Denver office. thank you for the opportunity to speak with you on the 15th.,The Austin Group Energy - Christian Schutz
"It's a great time to visit Germany...and for a limited time you can redeem
reward travel to Dusseldorf for only 20,000 miles! That's a savings of 50% ...","Dussledorf, Germany 50% Off Reward Sale","you can redeem rewards travel to dusseldorf for only 20,000 miles. that's a savings of 50% off the regular amount of miles needed","You can redeem reward travel to Dusseldorf for only 20,000 miles!"
"I spoke with Wayne Duman last Thursday (9/21/00) to schedule a Enron VEPCO 
meeting for September 29, 2000 to discuss VEPCO progress with the Facility...",VEPCO Interconnect Discussions,"Wayne duman cancelled a meeting with Enron on september 29, 2000. he is calling an internal meeting with Capacity Acquisition,","Enron VEPCO meeting for September 29, 2000"
"Rosalee:
Thanks very much for helping arrange the meetings.  Here is the list thus 
far.  There may be additions.  I've also suggested dates for the m...",Ken Lay Meetings in CA,"if you do not have the numbers, let me know and I will get them for you. cc Maureen McVicker",Ken Lay Meetings in CA
"TASK ASSIGNMENT


Task Priority:		
Task Due On:		
Task Start Date:...",work on front page with Cara,TASK ASSIGNMENT Task Priority: Task Due On: Task Start Date:,Task Due On: Task Start Date:
"Jonny is still there , and thank you for the mosquito machines.
>>> Allen Crosswell 10/09/01 03:21PM >>>
Is Johnny still down there? If not, I need to...",POCCC Association Minutes,the mosquito machines run on propane gas and will need to be refilled every 4-6 weeks. two of them will cover an area of 1.5 acres,Is Johnny still down there?
"Scott,

Thanks again for hosting lunch recently in Dallas.  I appreciated the open 
discussion around your iPlanet business as well as your views on M...",Sun Customer Lunch in Dallas,we will get you an e-mail soon that summarizes the issues we brought up. Greg Piper chief operating officer greg.piper,iPlanet Lunch in Dallas
"FYI
----- Forwarded by Mark Taylor/HOU/ECT on 09/13/2000 10:37 AM -----

	Paul Simons
	09/13/2000 09:16 AM
		 
		 To: Gary Hickerson/HOU/ECT@ECT, Jeff...",Bond & Equity Trading,the letter states that SFA will not be applying their consolidated capital supervision rules to the unregulated entity. the letter also states that they will not,Bond & Equity Trading
"Leon, thanks for the list.  If this is a complete list of the parts which are 
replaced, what parts are ""common"" between the 3505 and the 4700?  Bill ...",Common Parts request,"bill Scott is the attorney on this for Enron. he has copied him on this correspondence ""wcs@modrallcom""",Common Parts request
"PRIVILEGED AND CONFIDENTIAL

I was asked to set up a conference call for Monday (3/19) at 3:00 Eastern 
with regulatory and bankruptcy counsel for the...",CONFERENCE CALL MONDAY AT 3:00,I was asked to set up a conference call for the nine Complainants to discuss the interrelation between the FERC Chargeback complaint proceeding,Conference call for Monday (3/19)
"/----------------------------------------------------------------\
Explore the people, ideas, and events that shape our culture with
SubstanceTV, a DV...",tenet: Dictionary.com Word of the Day,"SubstanceTV is a DVD videomagazine featuring original content. only $14.95 for a one-year, 10-issue subscription.","Word of the Day for Saturday October 27, 2001"
"Richard/Michele,

Here's a slightly revised version that should reflect your changes.  This version should be consistent with the latest  index TC lan...",MD Index Product Approval Template Revisions,a slightly revised version should reflect your changes. this version should be consistent with the latest index TC language too.,PAT version of index TC language
"Mark Your Lunch Calendars!

You are invited to attend the ENA Brown Bag Lunch Series

Featuring Brian Redmond
Managing Director=20

Discussion Topic: ...",ENA Brown Bag Lunch Series,you are invited to attend the ENA Brown Bag Lunch Series. RSVP X 57352.,ENA Brown Bag Lunch Series
"Attached is PIRA's latest ""Eastern Grid Market Forecast.""

If you have any questions regarding the report's content, please contact
Morris Greenberg (...",PIRA's Eastern Grid Market Forecast 04/30/01,"if you have any questions regarding the report, please contact Morris Greenberg or Allan Stewart. contact John Graziano regarding the ""ea","PIRA's latest ""Eastern Grid Market Forecast"""
"kay please schedule

regards
delainey
---------------------- Forwarded by David W Delainey/HOU/ECT on 07/05/2000=
=20
07:48 PM -----------------------...",United Way Alexis de Toqueville Breakfast,"the Alexis de Toqueville Breakfast will focus on our 2000 campaign. the breakfast will focus on our goal of $2,310,000.",United Way Alexis de Toqueville Breakfast
"---------------------- Forwarded by Phillip M Love/HOU/ECT on 06/07/2000 
06:20 PM ---------------------------


Jim Little
05/12/2000 09:05 AM
To: Ma...",9904-9901 OAs as 4/2000 GL,forwarded by Phillip M Love/HOU/ECT on 06/07/2000 06:20 PM ------------ Jim Little 05/12,9904-9901
"Here is the draft testimony of Paul Amirault on storage issues.  There is
additional material on balancing and on storage price floors which will be
a...",Testimony of Paul Amirault,there is additional material on balancing and on storage price floors. please send comments to Mike Day as soon as possible.,Draft testimony of Paul Amirault
"More info related to first e-mail...

 -----Original Message-----
From: 	Glover, Sheila  
Sent:	Thursday, December 20, 2001 12:37 PM
To:	Beck, Sally
S...",information for bert stromquist,records group was assisting carolyn gilley and her contractor with this project. enron records department handles information for all,information for bert stromquist
"mulong wang <mlwang@uts.cc.utexas.edu> on 04/24/2001 10:58:43 AM
To:	<Elena.Chilkina@enron.com>
cc:	 

Subject:	Re: Weather and energy price Data

Hel...",Weather and energy price Data,mulong wang mlwang@uts.cc.utexas.edu> on 04/24/2001 10,Weather and energy price Data
"Jeff,

Good to see you in New York last week at the Guggenheim -- I enjoyed your 
company at the dinner.  Lisa Yoho passed on your questions about the...",EGM opportunities in Bush Energy Plan,"short-term opportunities $2 billion over ten years for clean coal technologies. there may be opportunities to pursue R&D funding, pilot projects, or",New Source Review (NSR) Reforms
"-----Original Message-----
From: Vanek, Darren 
Sent: Wednesday, November 28, 2001 8:24 AM
To: Anderson, Diane; Bailey, Derek; Baumbach, David; Bell, ...",aaaCredit Report2.xls,aaaCredit Report2.xls: aaaCredit Report2.xls: aaaC,AaaCredit Report2.xls
